sample_id	gene_symbol	entrez_id	log2fc	pvalue	padj	module	module_size	moduleCoverage	moduleCoveragePercetage
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Ablim3	id_307395	1.49578068349131	0	0.0000242809656796572	rKIDNEY_291	8	6	75
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Cdc20	id_64515	2.80522256129079	0	0.0000252120490896499	rKIDNEY_5m	318	232	73
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Arg2	id_29215	3.64865857706264	0	0.0000252822946180123	rKIDNEY_331	7	6	85.7
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Itih2	id_498793	-3.38582371064628	0	0.0000252822946180123	rKIDNEY_15	77	19	24.7
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Cd44	id_25406	2.99991833831302	0	0.0000252822946180123	rKIDNEY_2m	1123	973	86.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Asns	id_25612	2.90786320774636	0	0.0000252822946180123	rKIDNEY_74	21	19	90.5
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Gprc5a	id_312790	2.84203586827804	0	0.0000252822946180123	rKIDNEY_2m	1123	973	86.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Klf6	id_58954	2.80887239217707	0	0.0000252822946180123	rKIDNEY_64m	44	42	95.5
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Tlr2	id_310553	2.67149615501037	0	0.0000252822946180123	rKIDNEY_7m	221	171	77.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Efhd2	id_298609	2.05933122502555	0	0.0000252822946180123	rKIDNEY_7m	221	171	77.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Plk4	id_310344	1.64660399913415	0	0.0000252822946180123	rKIDNEY_5m	318	232	73
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Timp2	id_29543	1.59631327028108	0	0.0000252822946180123	rKIDNEY_10m	118	113	95.8
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Crot	id_83842	-1.38462509767883	0	0.0000252822946180123	rKIDNEY_347	7	7	100
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Ltbp2	id_59106	4.47423451062244	0	0.0000259822758891552	rKIDNEY_1	2747	813	29.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Pcdh7	id_360942	2.59566000467596	0	0.0000259822758891552	rKIDNEY_44	29	14	48.3
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Afap1	id_140935	1.66381156382334	0	0.0000259822758891552	rKIDNEY_1	2747	813	29.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Edn1	id_24323	2.6388584581622	0	0.000025992471383143	rKIDNEY_2m	1123	973	86.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_RT1-Ba	id_309621	1.9520244735328	0	0.000025992471383143	rKIDNEY_1	2747	813	29.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Tk1	id_24834	1.39817744604616	0	0.000025992471383143	rKIDNEY_5m	318	232	73
uploadFile1_PKD_Advanced_SINGLE_5_0	id_RT1-Bb	id_309622	2.03174462131495	0	0.0000262556356563488	rKIDNEY_384	5	4	80
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Slc23a3	id_367298	1.09922851406939	0	0.0000267838980070906	rKIDNEY_331	7	6	85.7
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Scarb2	id_117106	0.910610942079773	0	0.0000267838980070906	rKIDNEY_2m	1123	973	86.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Cela1	id_24331	-1.4281135635073	0	0.0000277325403972174	rKIDNEY_9m	165	131	79.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Stk16	id_286927	-1.09293309417513	0	0.0000277325403972174	rKIDNEY_28m	82	79	96.3
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Gpc3	id_25236	3.2671690483654	0	0.0000278297929852186	rKIDNEY_10m	118	113	95.8
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Lbp	id_29469	1.99361110699692	0	0.0000278297929852186	rKIDNEY_327	7	5	71.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Abcc3	id_140668	2.85369841428467	0	0.0000282488625457225	rKIDNEY_53	25	19	76
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Mlph	id_316620	1.61554894838654	0	0.0000283592017777313	rKIDNEY_321	8	8	100
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Ndufb5	id_294964	-1.04027114668638	0	0.0000284775910272993	rKIDNEY_28m	82	79	96.3
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Aldh1a2	id_116676	3.61312422286776	0	0.0000291209535055832	rKIDNEY_2m	1123	973	86.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Ccl9	id_360579	2.11567885089605	0	0.0000291209535055832	rKIDNEY_15	77	19	24.7
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Akap12	id_83425	3.54505845433568	0	0.0000302164197628015	rKIDNEY_2m	1123	973	86.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Vcam1	id_25361	3.36769725445885	0	0.0000302164197628015	rKIDNEY_10m	118	113	95.8
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Tmem178a	id_362691	-1.1951092131402	0	0.0000302164197628015	rKIDNEY_9m	165	131	79.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Phb1	id_25344	-1.15861013910834	0	0.0000302164197628015	rKIDNEY_121	16	16	100
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Ezr	id_54319	0.862697679204253	0	0.0000302164197628015	rKIDNEY_211	11	11	100
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Cdt1	id_292071	1.4446883211981	0	0.0000304187364425395	rKIDNEY_5m	318	232	73
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Nedd4	id_25489	0.907695321913923	0	0.0000304187364425395	rKIDNEY_42m	75	72	96
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Gpcpd1	id_362219	-1.30442079777238	0	0.0000306326172615817	rKIDNEY_110	16	15	93.8
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Ndufa4	id_681024	-0.968605044432692	0	0.0000306396615795905	rKIDNEY_9m	165	131	79.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Cox17	id_89786	-0.826003823195665	0	0.0000306396615795905	rKIDNEY_37m	74	70	94.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Ctss	id_50654	3.20109783398764	0	0.0000309950814508988	rKIDNEY_63m	31	20	64.5
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Rasl12	id_315762	1.39499963531147	0	0.0000311966751104092	rKIDNEY_9m	165	131	79.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Haus4	id_305882	1.39472387507351	0	0.0000311966751104092	rKIDNEY_5m	318	232	73
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Mmaa	id_291939	-1.37105032573125	0	0.0000311966751104092	rKIDNEY_3m	609	539	88.5
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Pcyt2	id_89841	-1.64801815607681	0	0.0000315094756435515	rKIDNEY_2m	1123	973	86.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Mcm6	id_29685	1.18333324083332	0	0.0000315094756435515	rKIDNEY_5m	318	232	73
uploadFile1_PKD_Advanced_SINGLE_5_0	id_F2rl1	id_116677	2.51969113986752	0	0.0000319426056087689	rKIDNEY_2m	1123	973	86.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Ccnl2	id_298686	-1.05717367860449	0	0.0000319426056087689	rKIDNEY_32m	74	72	97.3
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Uba5	id_300968	-0.738089698409285	0	0.0000319426056087689	rKIDNEY_361	6	6	100
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Sema5a	id_310207	2.22464676422624	0	0.0000329546490013592	rKIDNEY_158	14	8	57.1
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Arpin	id_308765	1.0774532152109	0	0.0000329546490013592	rKIDNEY_265	9	9	100
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Mrpl12	id_303746	-0.950007407217996	0	0.0000329546490013592	rKIDNEY_103	17	16	94.1
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Prdx3	id_64371	-0.855136553472708	0	0.0000331901043475407	rKIDNEY_3m	609	539	88.5
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Timm17a	id_54311	-0.799534074124395	0	0.0000331901043475407	rKIDNEY_103	17	16	94.1
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Ccl2	id_24770	4.0068130938003	0	0.000034055181623185	rKIDNEY_281	9	7	77.8
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Chaf1a	id_363333	1.97092947432573	0	0.000034055181623185	rKIDNEY_5m	318	232	73
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Nat9	id_303669	-1.48283661467005	0	0.000034055181623185	rKIDNEY_194	12	11	91.7
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Serpinf2	id_287527	-1.47705620861182	0	0.000034055181623185	rKIDNEY_9m	165	131	79.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Rmnd1	id_292268	-1.43026068250191	0	0.000034055181623185	rKIDNEY_221	11	11	100
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Amotl2	id_65157	1.34606526203758	0	0.000034055181623185	rKIDNEY_167	13	11	84.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Luc7l2	id_312251	-0.838323028612773	0	0.000034055181623185	rKIDNEY_177	13	13	100
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Birc5	id_64041	2.48121430236827	0	0.0000341464982070939	rKIDNEY_5m	318	232	73
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Cndp2	id_291394	-1.63597472134421	0	0.0000341464982070939	rKIDNEY_9m	165	131	79.4
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Tspan13	id_366602	-1.33059322201473	0	0.0000343945984229346	rKIDNEY_68m	39	34	87.2
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Ptgfrn	id_29602	2.01173641857674	0	0.0000357900629831823	rKIDNEY_2m	1123	973	86.6
uploadFile1_PKD_Advanced_SINGLE_5_0	id_Cp	id_24268	3.08333569066351	0	0.0000364768003511307	rKIDNEY_212m	21	19	90.5
